#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,3,14,11,2,4,1,0,0,5,3,0,0,1,1,0,1,0,0,0,0.364,0.385,0.455,0.840,142,0.091,0.333,0.0%,7.1%,1.00,-0.0,15.4%,17.9%,88.2%,38.6%,5.3%,7.1%,29,7,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835133.html>Yanagita Yuki</a>,3,13,13,1,4,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0.308,0.308,0.308,0.616,79,0.000,0.444,30.8%,0.0%,0.00,-0.0,22.2%,25.0%,83.3%,58.0%,14.0%,30.8%,37,DH,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/51155118.html>Asamura Hideto</a>,3,11,11,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0.182,0.182,0.182,0.364,7,0.000,0.200,9.1%,0.0%,0.00,-0.0,20.0%,18.2%,81.2%,47.6%,9.5%,9.1%,35,3,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/41345153.html>Irie Daiki</a>,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,0.0%,0.00,0.0,,75.0%,0.0%,80.0%,40.0%,100.0%,24,4,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81185116.html>Itoh Hikaru</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,75.0%,75.0%,87.5%,37.5%,50.0%,37,2,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965151.html>Kobukata Hiroto</a>,3,6,6,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0.167,0.167,0.167,0.334,-2,0.000,0.333,50.0%,0.0%,0.00,-0.0,33.3%,12.5%,71.4%,34.8%,13.0%,50.0%,30,4,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/01905151.html>Kurokawa Fumiya</a>,3,12,12,2,4,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0.333,0.333,0.417,0.750,125,0.084,0.400,16.7%,0.0%,0.00,-0.0,0.0%,32.0%,100.0%,47.2%,5.7%,16.7%,25,5,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/73775152.html>McCusker Carson</a>,3,13,12,1,2,2,0,0,4,5,0,0,0,1,7,0,0,0,0,0.167,0.154,0.333,0.487,41,0.166,0.333,53.8%,0.0%,0.00,0.0,33.3%,37.1%,75.0%,41.7%,20.0%,53.8%,28,7,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/41845132.html>Murabayashi Itsuki</a>,3,12,11,1,3,1,0,0,4,1,0,0,1,0,3,0,0,0,0,0.273,0.273,0.364,0.637,89,0.091,0.375,25.0%,0.0%,0.00,-0.0,0.0%,23.8%,93.8%,45.7%,6.5%,25.0%,28,6,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425159.html>Nakashima Daisuke</a>,3,12,11,2,2,1,0,0,3,1,0,0,0,0,3,1,0,0,0,0.182,0.250,0.273,0.523,56,0.091,0.250,25.0%,8.3%,0.33,-0.0,12.5%,23.1%,66.7%,36.7%,12.2%,33.3%,25,9,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385138.html>Ogoh Yuya</a>,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,205,0.000,0.500,0.0%,0.0%,,-0.0,50.0%,0.0%,100.0%,50.0%,0.0%,0.0%,29,9,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/71375138.html>Ohta Hikaru</a>,3,9,7,1,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0.429,0.556,0.429,0.985,203,0.000,0.500,11.1%,22.2%,2.00,-0.0,33.3%,15.8%,66.7%,33.3%,11.1%,33.3%,29,2,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/91095151.html>Sato Naoki</a>,2,4,4,2,3,0,1,1,8,1,0,0,0,0,1,0,0,0,0,0.750,0.750,2.000,2.750,714,1.250,1.000,25.0%,0.0%,0.00,-0.0,,,,,,50.0%,27,9,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81985135.html>Suzuki Daichi</a>,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,0.0%,0.0%,,0.0,25.0%,33.3%,100.0%,58.3%,0.0%,0.0%,36,5,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015138.html>Tatsumi Ryosuke</a>,2,9,8,3,2,0,1,0,4,0,0,1,0,0,3,1,0,0,0,0.250,0.333,0.500,0.833,148,0.250,0.400,33.3%,11.1%,0.33,-0.3,0.0%,14.3%,78.6%,44.7%,13.2%,44.4%,29,8,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/03005150.html>Voit Luke</a>,3,13,11,2,4,2,0,0,6,3,0,0,0,1,1,0,0,1,0,0.364,0.385,0.545,0.930,179,0.181,0.364,7.7%,0.0%,0.00,-0.0,27.3%,33.3%,100.0%,45.2%,11.9%,7.7%,35,DH,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175138.html>Watanabe Yoshiaki</a>,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,101,0.000,0.500,33.3%,0.0%,0.00,-0.0,0.0%,20.0%,60.0%,50.0%,25.0%,33.3%,29,5,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/23325152.html>Canario Alexander</a>,2,9,8,0,1,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0.125,0.222,0.250,0.472,38,0.125,0.200,33.3%,11.1%,0.33,-0.0,20.0%,22.7%,83.3%,52.3%,9.1%,44.4%,26,9,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/71775134.html>Genda Sosuke</a>,3,7,7,0,3,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0.429,0.429,0.429,0.858,153,0.000,0.600,28.6%,0.0%,0.00,-0.0,40.0%,50.0%,83.3%,61.5%,11.5%,28.6%,33,6,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81685153.html>Hasegawa Shinya</a>,3,13,11,2,3,0,0,0,3,0,1,0,0,0,3,1,0,1,0,0.273,0.385,0.273,0.658,96,0.000,0.375,23.1%,7.7%,0.33,0.2,25.0%,33.3%,78.6%,43.4%,13.2%,30.8%,24,3,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,25.0%,0.0%,0.00,0.0,0.0%,20.0%,100.0%,41.7%,8.3%,25.0%,32,4,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51955151.html>Kishi Junichiro</a>,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,0.0%,50.0%,50.0%,0.0%,29,,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81785155.html>Koga Yuto</a>,1,3,3,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.667,1.000,186,0.334,0.500,33.3%,0.0%,0.00,0.0,0.0%,16.7%,100.0%,50.0%,7.1%,33.3%,26,2,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41745152.html>Kojima Taiga</a>,2,8,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.750,121,0.000,0.375,0.0%,0.0%,,-0.0,12.5%,50.0%,88.9%,61.9%,14.3%,0.0%,22,2,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755135.html>Kuwahara Masayuki</a>,3,13,11,1,3,1,0,0,4,0,1,0,0,0,1,0,0,2,0,0.273,0.385,0.364,0.749,121,0.091,0.300,7.7%,0.0%,0.00,0.2,30.0%,15.8%,100.0%,42.5%,5.0%,7.7%,32,7,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/33935152.html>Lin An-Ko</a>,2,9,8,0,2,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0.250,0.333,0.375,0.708,107,0.125,0.286,11.1%,0.0%,0.00,-0.0,28.6%,26.7%,90.9%,48.4%,9.7%,11.1%,29,DH,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455136.html>Nishikawa Manaya</a>,3,13,13,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0.154,0.154,0.231,0.385,11,0.077,0.182,15.4%,0.0%,0.00,-0.0,36.4%,55.6%,100.0%,60.6%,12.1%,15.4%,27,8,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,3,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,16.7%,0.0%,0.00,0.0,0.0%,44.4%,83.3%,50.0%,5.0%,16.7%,22,4,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41245130.html>Tonosaki Shuta</a>,2,8,6,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.000,0.125,0.000,0.125,-60,0.000,0.000,12.5%,12.5%,1.00,-0.0,0.0%,12.5%,75.0%,40.9%,13.6%,25.0%,33,DH,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/83385150.html>Watanabe Seiya</a>,3,13,12,1,5,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0.417,0.462,0.417,0.879,160,0.000,0.455,7.7%,7.7%,1.00,-0.0,9.1%,29.6%,100.0%,49.1%,5.7%,15.4%,23,5,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/83385153.html>Yamamura Takayoshi</a>,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,25.0%,0.0%,0.00,0.0,0.0%,16.7%,100.0%,53.8%,0.0%,25.0%,23,3,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/43945152.html>Castro Rodolfo</a>,2,7,6,2,1,0,0,1,4,1,0,0,0,0,4,0,0,1,0,0.167,0.286,0.667,0.953,161,0.500,0.000,57.1%,0.0%,0.00,-0.0,100.0%,77.8%,71.4%,63.6%,31.8%,71.4%,27,4,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21925151.html>Gunji Yuya</a>,3,13,13,1,2,0,0,1,5,2,0,0,0,0,1,0,0,0,0,0.154,0.154,0.385,0.539,49,0.231,0.091,7.7%,0.0%,0.00,-0.0,8.3%,39.1%,95.0%,54.7%,7.5%,15.4%,28,5,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,3,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.500,0.333,0.833,141,0.000,0.333,0.0%,25.0%,1.00,-0.0,33.3%,0.0%,100.0%,38.9%,0.0%,25.0%,27,8,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/41545136.html>Kiyomiya Kotaro</a>,3,14,13,3,4,0,0,2,10,3,0,0,0,0,4,0,0,1,0,0.308,0.357,0.769,1.126,208,0.461,0.286,28.6%,0.0%,0.00,-0.0,33.3%,30.0%,64.7%,53.5%,23.3%,42.9%,27,3,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,3,13,12,2,4,0,0,2,10,2,0,0,0,0,3,1,0,0,1,0.333,0.385,0.833,1.218,233,0.500,0.286,23.1%,7.7%,0.33,-0.0,11.1%,34.6%,93.3%,50.0%,16.7%,46.2%,26,9,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73975136.html>Martinez Ariel</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,0.0%,66.7%,33.3%,0.0%,30,,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/63165155.html>Mizuno Tatsuki</a>,3,10,9,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.111,0.200,0.111,0.311,-6,0.000,0.143,20.0%,10.0%,0.50,-0.0,14.3%,23.5%,92.3%,44.7%,7.9%,30.0%,25,6,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,3,15,14,3,5,0,0,1,8,1,0,0,0,0,5,0,0,1,0,0.357,0.400,0.571,0.971,171,0.214,0.500,33.3%,0.0%,0.00,-0.0,0.0%,28.6%,81.8%,50.8%,15.3%,40.0%,25,7,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21225133.html>Nishikawa Haruki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,100.0%,100.0%,50.0%,0.0%,34,,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31435138.html>Nomura Yuki</a>,2,5,5,1,2,0,0,1,5,1,0,0,0,0,2,0,0,0,0,0.400,0.400,1.000,1.400,280,0.600,0.500,40.0%,0.0%,0.00,-0.0,66.7%,30.0%,100.0%,50.0%,10.0%,60.0%,26,7,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73075159.html>Reyes Franmil</a>,3,14,12,0,3,1,0,0,4,1,0,0,0,0,2,1,0,1,1,0.250,0.357,0.333,0.690,98,0.083,0.300,14.3%,7.1%,0.50,-0.0,10.0%,45.5%,57.9%,64.2%,32.1%,21.4%,30,DH,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965130.html>Shimizu Yushi</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,,100.0%,0.0%,0.0%,30,2,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51055138.html>Tamiya Yua</a>,3,11,11,0,4,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0.364,0.364,0.364,0.728,108,0.000,0.500,27.3%,0.0%,0.00,-0.0,12.5%,56.2%,81.2%,67.6%,21.6%,27.3%,26,2,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/63165150.html>Yamagata Shu</a>,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,25.0%,0.0%,0.00,0.0,0.0%,44.4%,100.0%,50.0%,14.3%,25.0%,24,6,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73375157.html>Yazawa Kota</a>,2,4,4,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,44,0.000,0.333,25.0%,0.0%,0.00,0.2,0.0%,54.5%,100.0%,52.9%,17.6%,25.0%,25,8,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/13515157.html>Yoshida Kengo</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,0.0%,0.00,0.0,,100.0%,,66.7%,66.7%,100.0%,25,,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
